Type,MimeType,Supplier,Author,Publisher,Group,Name,Version,Scope,LicenseExpressions,LicenseNames,Copyright,Cpe,Purl,Modified,SwidTagId,SwidName,SwidVersion,SwidTagVersion,SwidPatch,SwidTextContentType,SwidTextEncoding,SwidTextContent,SwidUrl,MD5,SHA-1,SHA-256,SHA-384,SHA-512,SHA3-256,SHA3-384,SHA3-512,BLAKE2b-256,BLAKE2b-384,BLAKE2b-512,BLAKE3,Description
Library,,,,,,dpkg,1.22.6ubuntu6.1,,GPL-2.0-only AND GPL-2.0-or-later AND LicenseRef-public-domain-s-s-d,,,cpe:2.3:a:dpkg:dpkg:1.22.6ubuntu6.1:*:*:*:*:*:*:*,pkg:deb/ubuntu/dpkg@1.22.6ubuntu6.1?arch=amd64&distro=ubuntu-24.04,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,e2fsprogs,1.47.0-2.4~exp1ubuntu4.1,,Apache-2.0 AND Apache-2.0 AND BSD-3-Clause AND LicenseRef-GPL AND GPL-2.0-only AND GPL-2.0-or-later AND ISC AND Kazlib AND LGPL-2.0-only AND Latex2e,,,cpe:2.3:a:e2fsprogs:e2fsprogs:1.47.0-2.4\~exp1ubuntu4.1:*:*:*:*:*:*:*,pkg:deb/ubuntu/e2fsprogs@1.47.0-2.4~exp1ubuntu4.1?arch=amd64&distro=ubuntu-24.04,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,findutils,4.9.0-5build1,,BSD-3-Clause AND FSFAP AND FSFULLR AND GFDL-1.3-only AND LicenseRef-GFDL-NIV-1.3- AND LicenseRef-GPL AND GPL-2.0-only AND GPL-2.0-or-later AND GPL-3.0-only AND GPL-3.0-or-later AND ISC AND LGPL-2.0-only AND LGPL-2.0-or-later AND LGPL-2.1-only AND LGPL-2.1-or-later AND LGPL-3.0-only AND LGPL-3.0-or-later AND X11 AND LicenseRef-public-domain,,,cpe:2.3:a:findutils:findutils:4.9.0-5build1:*:*:*:*:*:*:*,pkg:deb/ubuntu/findutils@4.9.0-5build1?arch=amd64&distro=ubuntu-24.04,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,gcc-14-base,14.2.0-4ubuntu2~24.04,,,Artistic AND GFDL-1.2-only AND LicenseRef-GPL AND GPL-3.0-only AND LicenseRef-LGPL,,cpe:2.3:a:gcc-14-base:gcc-14-base:14.2.0-4ubuntu2\~24.04:*:*:*:*:*:*:*,pkg:deb/ubuntu/gcc-14-base@14.2.0-4ubuntu2~24.04?arch=amd64&distro=ubuntu-24.04&upstream=gcc-14,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,gpgv,2.4.4-2ubuntu17.2,,BSD-3-Clause AND CC0-1.0 AND LicenseRef-Expat AND GPL-2.0-or-later AND GPL-2.0-only AND GPL-3.0-only AND GPL-3.0-or-later AND LGPL-2.1-only AND LGPL-2.1-or-later AND LGPL-3.0-only AND LGPL-3.0-or-later AND LicenseRef-RFC-Reference AND LicenseRef-TinySCHEME AND LicenseRef-permissive,,,cpe:2.3:a:gpgv:gpgv:2.4.4-2ubuntu17.2:*:*:*:*:*:*:*,pkg:deb/ubuntu/gpgv@2.4.4-2ubuntu17.2?arch=amd64&distro=ubuntu-24.04&upstream=gnupg2,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,grep,3.11-4build1,,GPL-3.0-only AND GPL-3.0-or-later,,,cpe:2.3:a:grep:grep:3.11-4build1:*:*:*:*:*:*:*,pkg:deb/ubuntu/grep@3.11-4build1?arch=amd64&distro=ubuntu-24.04,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,gzip,1.12-1ubuntu3,,,FSF-manpages AND LicenseRef-GFDL-1.3--no-invariant AND LicenseRef-GFDL-3 AND GPL-3.0-only AND GPL-3.0-or-later,,cpe:2.3:a:gzip:gzip:1.12-1ubuntu3:*:*:*:*:*:*:*,pkg:deb/ubuntu/gzip@1.12-1ubuntu3?arch=amd64&distro=ubuntu-24.04,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,hostname,3.23+nmu2ubuntu2,,GPL-2.0-only,,,cpe:2.3:a:hostname:hostname:3.23\+nmu2ubuntu2:*:*:*:*:*:*:*,pkg:deb/ubuntu/hostname@3.23%2Bnmu2ubuntu2?arch=amd64&distro=ubuntu-24.04,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,init-system-helpers,1.66ubuntu1,,BSD-3-Clause AND GPL-2.0-only AND GPL-2.0-or-later,,,cpe:2.3:a:init-system-helpers:init-system-helpers:1.66ubuntu1:*:*:*:*:*:*:*,pkg:deb/ubuntu/init-system-helpers@1.66ubuntu1?arch=all&distro=ubuntu-24.04,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,libacl1,2.3.2-1build1.1,,GPL-2.0-only AND GPL-2.0-or-later AND LGPL-2.0-or-later AND LGPL-2.1-only,,,cpe:2.3:a:libacl1:libacl1:2.3.2-1build1.1:*:*:*:*:*:*:*,pkg:deb/ubuntu/libacl1@2.3.2-1build1.1?arch=amd64&distro=ubuntu-24.04&upstream=acl,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,libapt-pkg6.0t64,2.7.14build2,,BSD-3-Clause AND LicenseRef-Expat AND GPL-2.0-only AND GPL-2.0-or-later,,,cpe:2.3:a:libapt-pkg6.0t64:libapt-pkg6.0t64:2.7.14build2:*:*:*:*:*:*:*,pkg:deb/ubuntu/libapt-pkg6.0t64@2.7.14build2?arch=amd64&distro=ubuntu-24.04&upstream=apt,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,libassuan0,2.5.6-1build1,,,GAP AND LicenseRef-GAP-FSF AND GPL-2.0-only AND GPL-2.0-or-later AND GPL-3.0-only AND GPL-3.0-or-later AND LGPL-2.1-only AND LGPL-2.1-or-later AND LGPL-3.0-only AND LGPL-3.0-or-later,,cpe:2.3:a:libassuan0:libassuan0:2.5.6-1build1:*:*:*:*:*:*:*,pkg:deb/ubuntu/libassuan0@2.5.6-1build1?arch=amd64&distro=ubuntu-24.04&upstream=libassuan,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,libattr1,1:2.5.2-1build1.1,,GPL-2.0-only AND GPL-2.0-or-later AND LGPL-2.0-or-later AND LGPL-2.1-only,,,cpe:2.3:a:libattr1:libattr1:1\:2.5.2-1build1.1:*:*:*:*:*:*:*,pkg:deb/ubuntu/libattr1@1%3A2.5.2-1build1.1?arch=amd64&distro=ubuntu-24.04&upstream=attr,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,libaudit-common,1:3.1.2-2.1build1.1,,GPL-1.0-only AND GPL-2.0-only AND LGPL-2.1-only,,,cpe:2.3:a:libaudit-common:libaudit-common:1\:3.1.2-2.1build1.1:*:*:*:*:*:*:*,pkg:deb/ubuntu/libaudit-common@1%3A3.1.2-2.1build1.1?arch=all&distro=ubuntu-24.04&upstream=audit,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,libaudit1,1:3.1.2-2.1build1.1,,GPL-1.0-only AND GPL-2.0-only AND LGPL-2.1-only,,,cpe:2.3:a:libaudit1:libaudit1:1\:3.1.2-2.1build1.1:*:*:*:*:*:*:*,pkg:deb/ubuntu/libaudit1@1%3A3.1.2-2.1build1.1?arch=amd64&distro=ubuntu-24.04&upstream=audit,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,libblkid1,2.39.3-9ubuntu6.2,,BSD-3-Clause AND BSD-4-Clause AND LicenseRef-BSLA AND GPL-2.0-only AND GPL-2.0-or-later AND GPL-3.0-only AND GPL-3.0-or-later AND LicenseRef-LGPL AND LGPL-2.0-only AND LGPL-2.0-or-later AND LGPL-2.1-only AND LGPL-2.1-or-later AND LGPL-3.0-only AND LGPL-3.0-or-later AND MIT AND LicenseRef-public-domain,,,cpe:2.3:a:libblkid1:libblkid1:2.39.3-9ubuntu6.2:*:*:*:*:*:*:*,pkg:deb/ubuntu/libblkid1@2.39.3-9ubuntu6.2?arch=amd64&distro=ubuntu-24.04&upstream=util-linux,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,libbz2-1.0,1.0.8-5.1build0.1,,,BSD-variant AND GPL-2.0-only,,cpe:2.3:a:libbz2-1.0:libbz2-1.0:1.0.8-5.1build0.1:*:*:*:*:*:*:*,pkg:deb/ubuntu/libbz2-1.0@1.0.8-5.1build0.1?arch=amd64&distro=ubuntu-24.04&upstream=bzip2,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,libc-bin,2.39-0ubuntu8.4,,GFDL-1.3-only AND GPL-2.0-only AND LGPL-2.1-only,,,cpe:2.3:a:libc-bin:libc-bin:2.39-0ubuntu8.4:*:*:*:*:*:*:*,pkg:deb/ubuntu/libc-bin@2.39-0ubuntu8.4?arch=amd64&distro=ubuntu-24.04&upstream=glibc,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,libc6,2.39-0ubuntu8.4,,GFDL-1.3-only AND GPL-2.0-only AND LGPL-2.1-only,,,cpe:2.3:a:libc6:libc6:2.39-0ubuntu8.4:*:*:*:*:*:*:*,pkg:deb/ubuntu/libc6@2.39-0ubuntu8.4?arch=amd64&distro=ubuntu-24.04&upstream=glibc,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,libcap-ng0,0.8.4-2build2,,GPL-2.0-only AND GPL-2.0-or-later AND GPL-3.0-only AND LGPL-2.1-only AND LGPL-2.1-or-later,,,cpe:2.3:a:libcap-ng0:libcap-ng0:0.8.4-2build2:*:*:*:*:*:*:*,pkg:deb/ubuntu/libcap-ng0@0.8.4-2build2?arch=amd64&distro=ubuntu-24.04&upstream=libcap-ng,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,libcap2,1:2.66-5ubuntu2.2,,BSD-3-Clause AND GPL-2.0-only AND GPL-2.0-or-later,,,cpe:2.3:a:libcap2:libcap2:1\:2.66-5ubuntu2.2:*:*:*:*:*:*:*,pkg:deb/ubuntu/libcap2@1%3A2.66-5ubuntu2.2?arch=amd64&distro=ubuntu-24.04,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,libcom-err2,1.47.0-2.4~exp1ubuntu4.1,,Apache-2.0 AND Apache-2.0 AND BSD-3-Clause AND LicenseRef-GPL AND GPL-2.0-only AND GPL-2.0-or-later AND ISC AND Kazlib AND LGPL-2.0-only AND Latex2e,,,cpe:2.3:a:libcom-err2:libcom-err2:1.47.0-2.4\~exp1ubuntu4.1:*:*:*:*:*:*:*,pkg:deb/ubuntu/libcom-err2@1.47.0-2.4~exp1ubuntu4.1?arch=amd64&distro=ubuntu-24.04&upstream=e2fsprogs,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,libcrypt1,1:4.4.36-4build1,,,,,cpe:2.3:a:libcrypt1:libcrypt1:1\:4.4.36-4build1:*:*:*:*:*:*:*,pkg:deb/ubuntu/libcrypt1@1%3A4.4.36-4build1?arch=amd64&distro=ubuntu-24.04&upstream=libxcrypt,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,libdb5.3t64,5.3.28+dfsg2-7,,,Artistic AND BSD-3-Clause AND LicenseRef-BSD-3-clause-fjord AND LicenseRef-GPL AND GPL-3.0-only AND LicenseRef-MIT-old AND MS-PL AND Sleepycat AND LicenseRef-TCL-like AND X11 AND Zlib,,cpe:2.3:a:libdb5.3t64:libdb5.3t64:5.3.28\+dfsg2-7:*:*:*:*:*:*:*,pkg:deb/ubuntu/libdb5.3t64@5.3.28%2Bdfsg2-7?arch=amd64&distro=ubuntu-24.04&upstream=db5.3,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,libdebconfclient0,0.271ubuntu3,,BSD-2-Clause AND BSD-2-Clause AND GPL-2.0-only AND GPL-2.0-or-later,,,cpe:2.3:a:libdebconfclient0:libdebconfclient0:0.271ubuntu3:*:*:*:*:*:*:*,pkg:deb/ubuntu/libdebconfclient0@0.271ubuntu3?arch=amd64&distro=ubuntu-24.04&upstream=cdebconf,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,libext2fs2t64,1.47.0-2.4~exp1ubuntu4.1,,Apache-2.0 AND Apache-2.0 AND BSD-3-Clause AND LicenseRef-GPL AND GPL-2.0-only AND GPL-2.0-or-later AND ISC AND Kazlib AND LGPL-2.0-only AND Latex2e,,,cpe:2.3:a:libext2fs2t64:libext2fs2t64:1.47.0-2.4\~exp1ubuntu4.1:*:*:*:*:*:*:*,pkg:deb/ubuntu/libext2fs2t64@1.47.0-2.4~exp1ubuntu4.1?arch=amd64&distro=ubuntu-24.04&upstream=e2fsprogs,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,libffi8,3.4.6-1build1,,,Expat AND LicenseRef-GPL AND GPL-2.0-or-later AND GPL-3.0-or-later AND MPL-1.1 AND X11 AND LicenseRef-public-domain,,cpe:2.3:a:libffi8:libffi8:3.4.6-1build1:*:*:*:*:*:*:*,pkg:deb/ubuntu/libffi8@3.4.6-1build1?arch=amd64&distro=ubuntu-24.04&upstream=libffi,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,libgcc-s1,14.2.0-4ubuntu2~24.04,,,Artistic AND GFDL-1.2-only AND LicenseRef-GPL AND GPL-3.0-only AND LicenseRef-LGPL,,cpe:2.3:a:libgcc-s1:libgcc-s1:14.2.0-4ubuntu2\~24.04:*:*:*:*:*:*:*,pkg:deb/ubuntu/libgcc-s1@14.2.0-4ubuntu2~24.04?arch=amd64&distro=ubuntu-24.04&upstream=gcc-14,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,libgcrypt20,1.10.3-2build1,,GPL-2.0-only AND LicenseRef-LGPL,,,cpe:2.3:a:libgcrypt20:libgcrypt20:1.10.3-2build1:*:*:*:*:*:*:*,pkg:deb/ubuntu/libgcrypt20@1.10.3-2build1?arch=amd64&distro=ubuntu-24.04,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,libgmp10,2:6.3.0+dfsg-2ubuntu6.1,,GPL-2.0-only AND GPL-2.0-or-later AND GPL-3.0-only AND GPL-3.0-or-later AND LGPL-3.0-only AND LGPL-3.0-or-later,,,cpe:2.3:a:libgmp10:libgmp10:2\:6.3.0\+dfsg-2ubuntu6.1:*:*:*:*:*:*:*,pkg:deb/ubuntu/libgmp10@2%3A6.3.0%2Bdfsg-2ubuntu6.1?arch=amd64&distro=ubuntu-24.04&upstream=gmp,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,libgnutls30t64,3.8.3-1.1ubuntu3.3,,Apache-2.0 AND BSD-3-Clause AND LicenseRef-CC0 AND LicenseRef-Expat AND GFDL-1.3-only AND LicenseRef-GPL AND GPL-3.0-only AND LicenseRef-GPLv3- AND LicenseRef-LGPL AND LGPL-3.0-only AND LicenseRef-LGPLv2.1- AND LicenseRef-LGPLv3--or-GPLv2- AND LicenseRef-The,,,cpe:2.3:a:libgnutls30t64:libgnutls30t64:3.8.3-1.1ubuntu3.3:*:*:*:*:*:*:*,pkg:deb/ubuntu/libgnutls30t64@3.8.3-1.1ubuntu3.3?arch=amd64&distro=ubuntu-24.04&upstream=gnutls28,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,libgpg-error0,1.47-3build2.1,,BSD-3-Clause AND GPL-3.0-only AND GPL-3.0-or-later AND LGPL-2.1-only AND LGPL-2.1-or-later AND LicenseRef-g10-permissive,,,cpe:2.3:a:libgpg-error0:libgpg-error0:1.47-3build2.1:*:*:*:*:*:*:*,pkg:deb/ubuntu/libgpg-error0@1.47-3build2.1?arch=amd64&distro=ubuntu-24.04&upstream=libgpg-error,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,libhogweed6t64,3.9.1-2.2build1.1,,,Expat AND LicenseRef-GAP AND LicenseRef-GPL AND GPL-2.0-only AND GPL-2.0-or-later AND GPL-3.0-or-later AND LicenseRef-LGPL AND LGPL-2.0-only AND LGPL-2.0-or-later AND LGPL-3.0-or-later AND LicenseRef-public-domain,,cpe:2.3:a:libhogweed6t64:libhogweed6t64:3.9.1-2.2build1.1:*:*:*:*:*:*:*,pkg:deb/ubuntu/libhogweed6t64@3.9.1-2.2build1.1?arch=amd64&distro=ubuntu-24.04&upstream=nettle,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,libidn2-0,2.3.7-2build1.1,,GPL-2.0-only AND GPL-2.0-or-later AND GPL-3.0-only AND GPL-3.0-or-later AND LGPL-3.0-only AND LGPL-3.0-or-later AND LicenseRef-Unicode,,,cpe:2.3:a:libidn2-0:libidn2-0:2.3.7-2build1.1:*:*:*:*:*:*:*,pkg:deb/ubuntu/libidn2-0@2.3.7-2build1.1?arch=amd64&distro=ubuntu-24.04&upstream=libidn2,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,liblz4-1,1.9.4-1build1.1,,BSD-2-Clause AND GPL-2.0-only AND GPL-2.0-or-later,,,cpe:2.3:a:liblz4-1:liblz4-1:1.9.4-1build1.1:*:*:*:*:*:*:*,pkg:deb/ubuntu/liblz4-1@1.9.4-1build1.1?arch=amd64&distro=ubuntu-24.04&upstream=lz4,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,liblzma5,5.6.1+really5.4.5-1ubuntu0.2,,,Autoconf AND GPL-2.0-only AND GPL-2.0-or-later AND GPL-3.0-only AND LGPL-2.0-only AND LGPL-2.1-only AND LGPL-2.1-or-later AND LicenseRef-PD AND LicenseRef-PD-debian AND LicenseRef-config-h AND LicenseRef-noderivs AND LicenseRef-permissive-fsf AND LicenseRef-permissive-nowarranty AND LicenseRef-probably-PD,,cpe:2.3:a:liblzma5:liblzma5:5.6.1\+really5.4.5-1ubuntu0.2:*:*:*:*:*:*:*,pkg:deb/ubuntu/liblzma5@5.6.1%2Breally5.4.5-1ubuntu0.2?arch=amd64&distro=ubuntu-24.04&upstream=xz-utils,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,libmd0,1.1.0-2build1.1,,BSD-2-Clause AND BSD-2-Clause AND BSD-3-Clause AND LicenseRef-BSD-3-clause-Aaron-D-Gifford AND Beerware AND ISC AND LicenseRef-public-domain-md4 AND LicenseRef-public-domain-md5 AND LicenseRef-public-domain-sha1,,,cpe:2.3:a:libmd0:libmd0:1.1.0-2build1.1:*:*:*:*:*:*:*,pkg:deb/ubuntu/libmd0@1.1.0-2build1.1?arch=amd64&distro=ubuntu-24.04&upstream=libmd,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,libmount1,2.39.3-9ubuntu6.2,,BSD-3-Clause AND BSD-4-Clause AND LicenseRef-BSLA AND GPL-2.0-only AND GPL-2.0-or-later AND GPL-3.0-only AND GPL-3.0-or-later AND LicenseRef-LGPL AND LGPL-2.0-only AND LGPL-2.0-or-later AND LGPL-2.1-only AND LGPL-2.1-or-later AND LGPL-3.0-only AND LGPL-3.0-or-later AND MIT AND LicenseRef-public-domain,,,cpe:2.3:a:libmount1:libmount1:2.39.3-9ubuntu6.2:*:*:*:*:*:*:*,pkg:deb/ubuntu/libmount1@2.39.3-9ubuntu6.2?arch=amd64&distro=ubuntu-24.04&upstream=util-linux,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,libncursesw6,6.4+20240113-1ubuntu2,,BSD-3-Clause AND LicenseRef-MIT-X11 AND X11,,,cpe:2.3:a:libncursesw6:libncursesw6:6.4\+20240113-1ubuntu2:*:*:*:*:*:*:*,pkg:deb/ubuntu/libncursesw6@6.4%2B20240113-1ubuntu2?arch=amd64&distro=ubuntu-24.04&upstream=ncurses,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,libnettle8t64,3.9.1-2.2build1.1,,,Expat AND LicenseRef-GAP AND LicenseRef-GPL AND GPL-2.0-only AND GPL-2.0-or-later AND GPL-3.0-or-later AND LicenseRef-LGPL AND LGPL-2.0-only AND LGPL-2.0-or-later AND LGPL-3.0-or-later AND LicenseRef-public-domain,,cpe:2.3:a:libnettle8t64:libnettle8t64:3.9.1-2.2build1.1:*:*:*:*:*:*:*,pkg:deb/ubuntu/libnettle8t64@3.9.1-2.2build1.1?arch=amd64&distro=ubuntu-24.04&upstream=nettle,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,libnpth0t64,1.6-3.1build1,,LGPL-2.1-only AND LGPL-2.1-or-later,,,cpe:2.3:a:libnpth0t64:libnpth0t64:1.6-3.1build1:*:*:*:*:*:*:*,pkg:deb/ubuntu/libnpth0t64@1.6-3.1build1?arch=amd64&distro=ubuntu-24.04&upstream=npth,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,libp11-kit0,0.25.3-4ubuntu2.1,,Apache-2.0 AND BSD-3-Clause AND FSFAP AND FSFULLR AND GPL-2.0-or-later AND GPL-3.0-or-later AND ISC AND LGPL-2.1-only AND LGPL-2.1-or-later AND X11 AND LicenseRef-customFSFUL AND LicenseRef-customFSFULLRWD,,,cpe:2.3:a:libp11-kit0:libp11-kit0:0.25.3-4ubuntu2.1:*:*:*:*:*:*:*,pkg:deb/ubuntu/libp11-kit0@0.25.3-4ubuntu2.1?arch=amd64&distro=ubuntu-24.04&upstream=p11-kit,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,libpam-modules,1.5.3-5ubuntu5.1,,BSD-3-Clause AND LicenseRef-BSD-tcp-wrappers AND Beerware AND LicenseRef-GPL AND GPL-2.0-only AND GPL-2.0-or-later AND GPL-3.0-only AND GPL-3.0-or-later AND LGPL-2.0-only AND LGPL-2.0-or-later AND LicenseRef-public-domain,,,cpe:2.3:a:libpam-modules:libpam-modules:1.5.3-5ubuntu5.1:*:*:*:*:*:*:*,pkg:deb/ubuntu/libpam-modules@1.5.3-5ubuntu5.1?arch=amd64&distro=ubuntu-24.04&upstream=pam,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,libpam-modules-bin,1.5.3-5ubuntu5.1,,BSD-3-Clause AND LicenseRef-BSD-tcp-wrappers AND Beerware AND LicenseRef-GPL AND GPL-2.0-only AND GPL-2.0-or-later AND GPL-3.0-only AND GPL-3.0-or-later AND LGPL-2.0-only AND LGPL-2.0-or-later AND LicenseRef-public-domain,,,cpe:2.3:a:libpam-modules-bin:libpam-modules-bin:1.5.3-5ubuntu5.1:*:*:*:*:*:*:*,pkg:deb/ubuntu/libpam-modules-bin@1.5.3-5ubuntu5.1?arch=amd64&distro=ubuntu-24.04&upstream=pam,,,,,,,,,,,,,,,,,,,,,,,
